id,age,job,marital,education,default,balance,housing,loan,y
40077,45,blue-collar,married,secondary,no,66,yes,no,no
40078,40,blue-collar,married,secondary,no,211,yes,no,no
40079,46,admin.,single,tertiary,no,377,yes,no,no
40080,48,management,married,tertiary,no,263,yes,no,no
40081,23,student,single,secondary,no,157,yes,no,no
40082,38,admin.,married,secondary,no,46,yes,yes,no
40083,38,admin.,single,secondary,no,393,no,no,no
40084,57,technician,married,unknown,no,345,yes,no,no
40085,60,retired,divorced,secondary,no,545,yes,no,yes
40086,37,technician,married,tertiary,no,8730,yes,no,no
40087,38,admin.,married,secondary,no,1,no,no,no
40088,47,blue-collar,married,primary,no,206,yes,no,no
40089,29,self-employed,single,tertiary,no,16,yes,no,no
40090,38,technician,married,secondary,no,284,yes,no,no
40091,51,blue-collar,married,primary,no,230,yes,no,no
40092,52,blue-collar,divorced,primary,no,55,yes,yes,no
40093,43,management,married,secondary,no,375,yes,no,no
40094,38,technician,single,tertiary,no,4325,yes,no,no
40095,42,management,married,tertiary,no,1680,yes,no,no
40096,36,blue-collar,married,secondary,no,139,yes,no,no
40097,50,self-employed,married,unknown,no,-84,yes,no,no
40098,37,management,married,tertiary,no,231,yes,yes,no
40099,40,admin.,single,secondary,no,-109,yes,yes,no
40100,35,blue-collar,married,secondary,no,89,yes,no,no
40101,36,services,single,primary,no,58,yes,no,no
40102,40,blue-collar,married,primary,no,668,yes,no,no
40103,39,management,single,secondary,no,1877,yes,no,no
40104,51,blue-collar,married,primary,no,1127,yes,no,no
40105,30,services,single,secondary,no,209,yes,no,no
40106,59,management,divorced,tertiary,no,-76,yes,yes,no
40107,36,blue-collar,married,secondary,no,0,yes,no,no
40108,41,blue-collar,married,secondary,no,946,yes,no,no
40109,49,entrepreneur,married,secondary,no,167,yes,yes,no
40110,44,admin.,married,unknown,no,40,no,yes,no
40111,34,blue-collar,single,tertiary,no,1011,yes,no,no
40112,48,management,divorced,unknown,no,549,yes,no,no
40113,44,blue-collar,married,primary,no,213,no,no,no
40114,48,blue-collar,married,secondary,no,157,yes,no,no
40115,40,unemployed,single,secondary,no,11,yes,no,no
40116,45,blue-collar,married,secondary,no,82,yes,no,no
40117,30,admin.,married,secondary,no,46,yes,no,no
40118,47,self-employed,married,unknown,no,935,yes,no,no
40119,33,blue-collar,married,secondary,no,-10,yes,no,no
40120,39,blue-collar,divorced,unknown,no,170,yes,no,no
40121,52,blue-collar,married,secondary,no,3165,no,no,no
40122,35,entrepreneur,married,secondary,yes,204,yes,no,no
40123,56,blue-collar,married,secondary,no,1602,yes,no,no
40124,41,blue-collar,single,primary,yes,-137,yes,yes,no
40125,53,blue-collar,married,primary,no,25,yes,no,no
40126,44,management,married,tertiary,no,17,yes,no,no
40127,30,technician,single,secondary,no,0,yes,no,no
40128,38,technician,married,secondary,no,581,yes,no,no
40129,41,admin.,divorced,primary,no,4070,yes,no,no
40130,31,self-employed,married,secondary,no,0,yes,no,no
40131,56,blue-collar,married,primary,no,5,yes,yes,no
40132,43,self-employed,married,secondary,no,918,yes,no,no
40133,47,technician,married,unknown,no,2106,yes,no,no
40134,31,blue-collar,single,tertiary,no,60,yes,yes,no
40135,31,management,single,tertiary,no,1852,yes,no,no
40136,32,admin.,single,tertiary,no,395,yes,no,no
40137,42,technician,single,secondary,no,0,yes,no,no
40138,43,unemployed,married,secondary,no,0,yes,no,no
40139,31,student,single,secondary,no,252,yes,no,no
40140,41,management,married,tertiary,no,65,yes,no,no
40141,41,technician,married,secondary,no,-366,yes,yes,no
40142,38,admin.,single,secondary,no,221,yes,no,no
40143,33,blue-collar,married,secondary,no,-349,yes,no,no
40144,41,services,married,unknown,no,4,no,no,no
40145,32,admin.,married,tertiary,no,281,yes,no,no
40146,46,blue-collar,married,primary,no,530,yes,no,no
40147,31,blue-collar,single,secondary,no,0,yes,no,no
40148,42,management,married,tertiary,no,0,yes,no,no
40149,54,services,married,secondary,no,510,yes,no,no
40150,39,services,married,secondary,no,1205,yes,no,no
40151,49,blue-collar,married,secondary,no,26,yes,no,no
40152,44,technician,single,unknown,no,78,yes,no,no
40153,36,entrepreneur,married,tertiary,no,125,yes,no,no
40154,41,admin.,divorced,secondary,no,322,yes,no,no
40155,52,blue-collar,married,primary,no,58,yes,no,no
40156,49,blue-collar,married,primary,no,198,yes,no,no
40157,34,management,married,tertiary,no,105,yes,no,no
40158,55,technician,married,secondary,no,0,no,no,no
40159,55,retired,married,secondary,no,143,yes,no,no
40160,45,blue-collar,married,unknown,no,248,yes,no,no
40161,37,blue-collar,single,secondary,no,88,yes,no,no
40162,30,admin.,single,secondary,no,115,yes,no,no
40163,55,unemployed,married,tertiary,no,383,no,no,no
40164,51,blue-collar,divorced,secondary,no,421,yes,no,no
40165,46,technician,married,secondary,yes,289,no,no,no
40166,39,blue-collar,married,primary,no,245,yes,no,no
40167,42,blue-collar,married,secondary,no,166,yes,no,no
40168,45,management,married,tertiary,no,103,yes,no,no
40169,42,management,divorced,tertiary,no,221,yes,no,no
40170,32,technician,divorced,secondary,no,210,yes,yes,no
40171,32,blue-collar,single,secondary,no,301,yes,no,no
40172,46,self-employed,married,tertiary,no,2303,yes,no,no
40173,56,retired,married,secondary,no,0,yes,no,no
40174,35,admin.,married,secondary,no,0,no,no,no
40175,45,self-employed,divorced,secondary,no,-139,yes,no,no
40176,31,blue-collar,single,primary,no,435,yes,no,no
40177,55,retired,married,secondary,no,102,yes,no,no
40178,37,blue-collar,married,secondary,no,16,yes,no,no
40179,35,technician,single,secondary,no,539,yes,no,no
40180,30,services,single,secondary,no,-174,yes,no,no
40181,37,blue-collar,married,primary,no,693,yes,no,no
40182,26,blue-collar,single,secondary,no,24,yes,no,no
40183,38,management,single,tertiary,no,673,yes,no,no
40184,55,management,divorced,tertiary,no,552,no,no,no
40185,32,blue-collar,divorced,primary,no,473,yes,no,no
40186,37,services,married,secondary,no,78,yes,no,no
40187,38,blue-collar,married,primary,no,83,yes,no,no
40188,53,services,divorced,primary,no,-291,yes,yes,yes
40189,31,services,married,tertiary,no,309,yes,yes,no
40190,33,management,married,tertiary,no,442,yes,no,no
40191,47,management,divorced,tertiary,no,34,yes,no,no
40192,40,services,single,tertiary,no,8823,yes,no,no
40193,28,blue-collar,single,secondary,no,97,yes,no,no
40194,41,technician,married,secondary,no,169,yes,no,no
40195,37,self-employed,married,tertiary,no,444,yes,no,no
40196,35,services,married,secondary,no,39,no,no,no
40197,52,blue-collar,married,secondary,no,-98,yes,no,no
40198,52,admin.,married,secondary,no,31,yes,no,no
40199,26,services,married,secondary,no,0,yes,no,no
40200,33,admin.,married,secondary,no,-6,yes,no,no
40201,35,services,married,secondary,no,528,no,no,no
40202,46,entrepreneur,married,unknown,no,1481,yes,no,no
40203,29,management,married,secondary,no,147,yes,yes,no
40204,43,admin.,single,unknown,no,87,yes,no,no
40205,41,management,divorced,secondary,no,276,yes,no,no
40206,33,management,single,tertiary,no,54,no,no,no
40207,33,unemployed,single,tertiary,no,1716,yes,no,no
40208,50,technician,married,secondary,no,73,no,no,no
40209,44,blue-collar,divorced,secondary,no,558,yes,no,no
40210,34,blue-collar,married,secondary,no,2308,yes,no,no
40211,36,entrepreneur,married,tertiary,no,1722,yes,no,no
40212,41,blue-collar,married,secondary,no,108,yes,yes,no
40213,44,services,divorced,secondary,no,7,yes,yes,no
40214,23,management,single,tertiary,no,2605,yes,no,no
40215,30,technician,single,tertiary,no,60,yes,yes,no
40216,47,blue-collar,married,secondary,no,438,yes,no,no
40217,36,services,single,secondary,no,174,yes,no,no
40218,43,blue-collar,married,secondary,no,667,yes,no,no
40219,44,services,divorced,secondary,no,396,yes,yes,no
40220,42,management,married,secondary,no,0,no,no,no
40221,39,blue-collar,single,secondary,no,29,yes,no,no
40222,44,blue-collar,married,primary,no,420,yes,no,no
40223,49,services,single,primary,no,114,yes,no,no
40224,56,management,married,primary,no,-24,yes,no,no
40225,54,technician,single,secondary,no,99,yes,no,no
40226,38,blue-collar,married,secondary,no,22,yes,yes,no
40227,34,blue-collar,married,secondary,no,615,yes,no,no
40228,35,admin.,married,primary,no,136,yes,no,no
40229,30,blue-collar,married,secondary,no,309,yes,no,yes
40230,51,technician,married,secondary,no,221,yes,no,no
40231,59,housemaid,divorced,unknown,no,873,yes,no,no
40232,30,blue-collar,married,primary,no,145,yes,no,no
40233,52,technician,married,unknown,no,133,yes,no,no
40234,43,blue-collar,married,primary,no,487,yes,no,no
40235,32,services,single,secondary,no,81,yes,no,no
40236,57,technician,divorced,secondary,no,2710,yes,yes,no
40237,48,blue-collar,married,secondary,no,1230,yes,yes,no
40238,39,technician,single,unknown,no,0,yes,no,no
40239,43,technician,married,primary,no,117,yes,no,no
40240,29,management,married,tertiary,no,199,yes,yes,yes
40241,46,blue-collar,married,secondary,no,1045,yes,yes,no
40242,28,blue-collar,married,primary,no,-55,yes,no,no
40243,36,technician,divorced,secondary,no,141,yes,no,no
40244,56,management,married,primary,no,93,yes,no,no
40245,44,technician,married,secondary,no,-97,yes,no,no
40246,48,technician,married,secondary,no,720,yes,no,no
40247,32,admin.,single,secondary,no,89,yes,yes,no
40248,31,technician,single,tertiary,no,703,yes,no,yes
40249,42,technician,married,secondary,no,420,yes,no,no
40250,43,management,married,tertiary,no,870,yes,yes,no
40251,43,blue-collar,married,secondary,yes,-7,no,no,no
40252,36,entrepreneur,single,secondary,no,157,yes,no,no
40253,47,blue-collar,married,primary,no,1865,yes,no,no
40254,36,technician,married,secondary,no,5611,yes,no,no
40255,26,blue-collar,single,primary,no,318,yes,no,no
40256,35,technician,single,secondary,no,2151,yes,no,no
40257,58,retired,married,tertiary,no,44,yes,no,no
40258,34,management,married,tertiary,no,0,yes,no,no
40259,26,blue-collar,married,secondary,no,2770,yes,no,no
40260,30,management,single,tertiary,no,5956,yes,no,no
40261,35,technician,married,secondary,no,319,yes,no,no
40262,41,unknown,single,primary,no,2398,yes,no,no
40263,46,services,married,secondary,no,2019,yes,no,no
40264,46,services,married,secondary,no,397,no,no,no
40265,38,technician,married,tertiary,no,1161,yes,no,no
40266,24,technician,single,tertiary,no,777,yes,no,no
40267,44,blue-collar,married,secondary,no,-95,yes,no,no
40268,32,management,single,tertiary,no,751,yes,no,no
40269,34,technician,married,secondary,no,65,yes,no,no
40270,44,admin.,single,secondary,no,-84,yes,no,no
40271,44,blue-collar,single,secondary,no,36,yes,no,no
40272,51,blue-collar,married,unknown,no,125,yes,no,no
40273,55,entrepreneur,married,primary,no,-24,yes,no,no
40274,44,blue-collar,married,secondary,yes,-617,yes,no,no
40275,51,admin.,divorced,secondary,no,340,yes,no,no
40276,49,technician,married,primary,no,230,yes,no,no
40277,46,blue-collar,married,primary,no,174,yes,yes,no
40278,33,entrepreneur,married,secondary,no,0,yes,yes,no
40279,39,admin.,single,secondary,no,762,yes,no,no
40280,33,services,married,secondary,no,-232,yes,no,no
40281,28,admin.,divorced,secondary,no,785,yes,no,yes
40282,43,management,single,tertiary,no,2067,yes,no,yes
40283,26,student,single,tertiary,no,37,yes,no,no
40284,49,admin.,single,secondary,no,275,no,no,no
40285,34,management,single,tertiary,no,163,no,no,no
40286,28,blue-collar,married,primary,no,113,yes,no,no
40287,44,services,divorced,secondary,no,240,yes,no,no
40288,39,services,single,secondary,no,-244,yes,no,no
40289,30,blue-collar,married,primary,no,70,yes,yes,no
40290,31,management,married,tertiary,no,59,yes,no,no
40291,47,management,married,primary,no,1222,yes,no,no
40292,46,admin.,divorced,tertiary,no,846,yes,no,no
40293,31,blue-collar,married,primary,no,406,yes,no,no
40294,34,services,married,secondary,no,2211,no,no,no
40295,32,blue-collar,married,secondary,no,214,yes,no,no
40296,34,blue-collar,married,secondary,no,199,yes,no,no
40297,35,blue-collar,single,secondary,no,907,yes,yes,no
40298,46,blue-collar,married,secondary,no,125,yes,yes,no
40299,48,admin.,divorced,secondary,no,267,no,no,no
40300,58,self-employed,divorced,secondary,no,613,yes,no,no
40301,57,entrepreneur,married,unknown,no,618,yes,no,no
40302,55,entrepreneur,married,primary,no,298,yes,no,no
40303,50,blue-collar,divorced,primary,no,134,no,no,no
40304,27,blue-collar,married,tertiary,no,417,yes,yes,no
40305,37,blue-collar,married,secondary,no,121,yes,no,no
40306,33,blue-collar,married,secondary,no,527,yes,yes,no
40307,43,services,single,unknown,no,193,yes,no,no
40308,38,blue-collar,single,unknown,no,495,yes,no,no
40309,41,blue-collar,single,secondary,no,363,yes,no,no
40310,33,technician,married,unknown,no,0,no,no,no
40311,34,management,married,tertiary,no,76,no,no,no
40312,42,technician,married,secondary,no,0,no,yes,no
40313,38,services,divorced,secondary,no,5873,no,no,no
40314,31,blue-collar,married,secondary,no,186,yes,no,no
40315,41,technician,married,secondary,no,64,yes,yes,no
40316,55,management,married,tertiary,no,1288,yes,no,no
40317,41,blue-collar,married,secondary,no,213,yes,no,no
40318,37,unemployed,single,secondary,no,381,yes,no,yes
40319,33,admin.,married,secondary,no,61,yes,yes,no
40320,36,blue-collar,married,secondary,no,504,yes,no,no
40321,32,unemployed,single,secondary,no,177,yes,no,no
40322,50,blue-collar,married,primary,no,749,no,no,no
40323,37,admin.,married,secondary,no,14,yes,no,no
40324,53,blue-collar,married,secondary,no,359,no,yes,no
40325,36,services,married,secondary,no,42,yes,no,no
40326,31,unemployed,married,primary,no,309,yes,no,no
40327,41,management,married,primary,no,-417,yes,no,no
40328,30,management,single,tertiary,no,528,yes,no,no
40329,31,blue-collar,married,primary,no,856,yes,no,no
40330,36,blue-collar,married,secondary,no,406,yes,no,no
40331,40,admin.,married,secondary,no,523,yes,yes,no
40332,41,blue-collar,married,primary,no,-52,yes,no,no
40333,56,technician,divorced,secondary,no,397,yes,no,no
40334,34,blue-collar,married,primary,no,298,yes,no,no
40335,54,unemployed,married,secondary,no,23,yes,no,no
40336,35,management,married,tertiary,yes,89,no,yes,no
40337,38,blue-collar,married,primary,no,0,yes,no,no
40338,35,management,married,tertiary,no,14,yes,yes,no
40339,41,blue-collar,married,primary,no,-97,yes,no,no
40340,29,services,single,secondary,no,473,yes,yes,no
40341,31,blue-collar,married,secondary,no,-13,yes,no,no
40342,47,admin.,divorced,secondary,no,162,yes,no,no
40343,35,technician,married,secondary,no,19,yes,no,no
40344,53,entrepreneur,married,secondary,no,-118,yes,no,no
40345,30,blue-collar,married,primary,no,265,yes,yes,no
40346,36,technician,single,secondary,no,-333,yes,yes,no
40347,35,blue-collar,married,secondary,no,503,yes,yes,no
40348,40,blue-collar,married,secondary,no,1245,yes,no,no
40349,43,blue-collar,divorced,primary,no,49,yes,no,no
40350,38,blue-collar,single,secondary,no,57,yes,no,no
40351,43,blue-collar,single,secondary,no,3,yes,no,yes
40352,28,blue-collar,married,secondary,no,6,yes,no,no
40353,27,technician,divorced,secondary,no,114,yes,yes,no
40354,34,blue-collar,married,secondary,no,457,yes,no,no
40355,31,admin.,married,secondary,no,307,yes,no,yes
40356,37,blue-collar,married,primary,no,378,yes,no,no
40357,35,blue-collar,single,primary,no,337,yes,no,no
40358,41,blue-collar,married,primary,no,-45,yes,yes,no
40359,59,blue-collar,single,primary,no,96,yes,no,no
40360,31,services,married,secondary,no,-346,no,no,no
40361,31,technician,single,tertiary,no,375,yes,no,no
40362,29,blue-collar,single,primary,no,-680,yes,no,no
40363,31,management,single,secondary,no,453,yes,no,no
40364,39,blue-collar,single,secondary,no,169,yes,no,no
40365,37,blue-collar,married,secondary,no,934,no,no,no
40366,32,blue-collar,single,secondary,no,-578,no,no,no
40367,37,technician,divorced,secondary,no,1981,yes,no,no
40368,31,services,divorced,secondary,no,1656,yes,no,no
40369,31,services,married,secondary,no,238,yes,yes,no
40370,46,technician,single,secondary,yes,-1124,yes,yes,no
40371,36,blue-collar,married,secondary,no,-9,yes,no,no
40372,31,admin.,married,secondary,no,27,no,yes,no
40373,35,management,divorced,tertiary,no,321,yes,no,no
40374,34,technician,single,tertiary,no,2257,yes,no,no
40375,27,student,married,tertiary,no,659,yes,no,no
40376,30,entrepreneur,single,secondary,no,491,yes,no,no
40377,33,blue-collar,married,secondary,no,88,yes,no,no
40378,33,blue-collar,single,secondary,no,550,yes,no,no
40379,51,blue-collar,married,secondary,no,22,yes,yes,no
40380,26,technician,single,secondary,no,57,yes,no,no
40381,26,management,married,primary,no,1349,yes,no,no
40382,32,admin.,single,secondary,no,708,no,no,no
40383,27,unemployed,married,primary,no,7459,yes,no,no
40384,30,services,married,secondary,no,0,yes,no,no
40385,38,technician,married,secondary,yes,9,yes,no,no
40386,28,blue-collar,single,secondary,no,-197,yes,no,yes
40387,27,technician,single,secondary,no,527,yes,no,no
40388,44,blue-collar,married,primary,no,-11,yes,no,no
40389,33,technician,single,secondary,no,513,yes,no,no
40390,32,blue-collar,single,secondary,no,2,no,no,no
40391,48,unemployed,married,secondary,no,855,yes,no,no
40392,29,technician,single,tertiary,no,542,yes,no,no
40393,26,entrepreneur,married,tertiary,no,79,yes,yes,no
40394,45,services,single,secondary,no,-139,yes,no,no
40395,49,blue-collar,married,primary,no,352,yes,no,no
40396,38,technician,single,tertiary,no,-256,yes,no,no
40397,39,entrepreneur,married,secondary,no,1261,yes,no,no
40398,57,management,married,secondary,no,0,yes,no,no
40399,46,entrepreneur,married,unknown,no,242,yes,no,no
40400,28,blue-collar,married,secondary,no,948,yes,no,no
40401,43,technician,single,secondary,no,336,yes,no,no
40402,25,admin.,single,secondary,no,61,yes,no,no
40403,30,technician,single,tertiary,no,2530,yes,no,no
40404,29,admin.,single,secondary,no,356,yes,no,no
40405,41,services,married,secondary,no,510,yes,no,no
40406,30,technician,single,tertiary,no,255,yes,no,no
40407,24,student,single,secondary,no,304,no,no,no
40408,46,blue-collar,married,primary,no,881,yes,no,no
40409,48,admin.,divorced,unknown,no,244,yes,no,no
40410,32,blue-collar,married,secondary,no,150,yes,no,no
40411,49,blue-collar,married,primary,no,1387,yes,yes,no
40412,32,admin.,divorced,secondary,no,43,yes,no,no
40413,37,blue-collar,married,primary,no,1160,yes,no,no
40414,34,admin.,single,secondary,no,391,yes,no,no
40415,50,management,married,tertiary,no,3284,yes,no,no
40416,34,entrepreneur,divorced,tertiary,no,338,yes,no,no
40417,56,admin.,divorced,secondary,yes,-435,yes,yes,no
40418,43,blue-collar,single,primary,no,0,no,no,no
40419,29,services,single,secondary,no,487,yes,yes,no
40420,27,admin.,married,secondary,no,133,yes,yes,no
40421,47,blue-collar,married,secondary,no,8,no,no,no
40422,48,unemployed,married,primary,no,296,yes,no,no
40423,31,management,single,tertiary,no,606,yes,no,no
40424,27,blue-collar,married,secondary,no,564,yes,no,no
40425,33,technician,married,secondary,no,0,yes,yes,no
40426,42,blue-collar,married,secondary,no,333,yes,no,no
40427,41,admin.,single,secondary,no,-256,no,yes,no
40428,36,technician,married,secondary,no,494,yes,no,no
40429,58,management,single,unknown,no,127,yes,no,no
40430,40,services,married,secondary,no,69,yes,no,no
40431,34,blue-collar,divorced,secondary,no,-294,yes,no,no
40432,34,technician,married,secondary,no,222,yes,no,no
40433,56,management,single,tertiary,no,4542,no,no,no
40434,47,admin.,single,secondary,no,15,no,no,no
40435,39,unemployed,divorced,secondary,no,507,yes,no,no
40436,35,blue-collar,married,secondary,no,325,no,no,no
40437,40,services,single,secondary,no,-278,yes,no,no
40438,54,management,married,primary,no,113,no,no,no
40439,27,management,single,tertiary,no,541,yes,no,no
40440,28,blue-collar,single,secondary,yes,-871,yes,no,no
40441,25,services,married,secondary,no,-454,yes,no,no
40442,29,technician,married,secondary,no,0,no,no,no
40443,35,management,single,tertiary,no,561,yes,no,no
40444,54,admin.,married,unknown,no,-337,yes,no,no
40445,37,technician,married,secondary,no,1047,yes,yes,no
40446,25,services,single,secondary,no,-439,yes,no,no
40447,31,entrepreneur,single,tertiary,yes,37,yes,no,no
40448,26,blue-collar,single,secondary,no,199,yes,yes,no
40449,54,retired,married,primary,no,208,no,no,no
40450,59,technician,married,secondary,no,371,yes,no,no
40451,32,admin.,single,secondary,no,5,yes,no,no
40452,26,blue-collar,single,secondary,yes,-23,yes,no,no
40453,35,management,single,tertiary,no,244,yes,no,no
40454,32,management,married,primary,no,142,yes,no,no
40455,48,technician,divorced,secondary,no,164,yes,no,no
40456,24,blue-collar,married,secondary,no,237,yes,no,no
40457,44,blue-collar,married,secondary,no,236,yes,no,no
40458,32,unemployed,married,primary,no,324,yes,no,no
40459,41,blue-collar,married,unknown,no,31,no,no,no
40460,31,blue-collar,divorced,secondary,no,387,yes,no,no
40461,24,student,single,tertiary,no,1535,yes,no,no
40462,39,technician,married,secondary,no,504,yes,no,no
40463,42,management,divorced,tertiary,no,1750,yes,no,no
40464,47,self-employed,divorced,secondary,no,218,yes,no,no
40465,26,blue-collar,single,secondary,no,96,yes,no,no
40466,33,management,single,tertiary,no,239,no,no,no
40467,53,blue-collar,married,primary,no,6386,yes,no,no
40468,28,unemployed,single,secondary,yes,-353,yes,no,no
40469,31,admin.,married,secondary,no,-474,yes,no,no
40470,58,entrepreneur,married,tertiary,no,146,yes,no,no
40471,39,admin.,single,secondary,no,1242,yes,no,no
40472,33,blue-collar,divorced,secondary,no,176,yes,no,no
40473,41,entrepreneur,married,tertiary,no,171,yes,no,no
40474,30,self-employed,married,tertiary,no,227,yes,yes,no
40475,22,housemaid,single,secondary,no,650,yes,no,no
40476,45,blue-collar,married,primary,no,333,yes,no,no
40477,32,admin.,single,tertiary,no,594,yes,no,no
40478,31,blue-collar,married,secondary,no,472,yes,no,no
40479,34,services,single,secondary,no,23,no,no,no
40480,25,blue-collar,single,primary,no,17,yes,no,no
40481,22,services,single,secondary,no,395,yes,no,no
40482,37,blue-collar,divorced,secondary,no,178,yes,no,no
40483,26,technician,single,secondary,no,24299,yes,no,no
40484,37,blue-collar,married,secondary,no,166,yes,no,no
40485,24,technician,single,secondary,no,-126,yes,yes,no
40486,26,services,married,secondary,no,54,yes,no,no
40487,33,management,single,tertiary,no,168,yes,no,no
40488,24,services,single,secondary,yes,-122,yes,no,yes
40489,34,blue-collar,single,primary,no,505,yes,no,no
40490,31,technician,single,tertiary,no,279,yes,no,no
40491,20,blue-collar,single,secondary,no,129,yes,yes,no
40492,23,blue-collar,single,primary,no,2594,yes,no,no
40493,40,blue-collar,married,primary,no,-166,yes,no,no
40494,61,retired,married,primary,no,1060,yes,no,no
40495,34,blue-collar,married,secondary,no,-185,yes,yes,no
40496,58,technician,married,secondary,no,7495,yes,no,no
40497,59,retired,married,secondary,no,1875,yes,no,no
40498,54,management,married,primary,no,879,yes,no,no
40499,46,blue-collar,married,secondary,no,2485,yes,no,no
40500,43,blue-collar,married,unknown,no,24,yes,no,no
40501,26,blue-collar,single,secondary,no,-204,yes,no,no
40502,41,services,married,secondary,no,-111,yes,no,no
40503,29,services,single,primary,no,95,yes,no,no
40504,60,blue-collar,married,primary,no,1262,yes,yes,yes
40505,46,entrepreneur,single,tertiary,no,580,yes,no,no
40506,50,blue-collar,married,primary,no,5356,no,no,no
40507,29,technician,single,secondary,no,309,yes,no,no
40508,40,management,married,tertiary,no,373,yes,yes,no
40509,40,admin.,divorced,secondary,no,221,yes,no,no
40510,45,blue-collar,married,secondary,no,105,yes,yes,no
40511,34,technician,single,tertiary,no,2,yes,no,no
40512,46,blue-collar,married,primary,no,399,yes,no,no
40513,50,unemployed,married,secondary,no,3478,yes,no,no
40514,28,blue-collar,married,secondary,no,64,yes,no,no
40515,51,management,married,tertiary,no,36,yes,no,no
40516,54,housemaid,married,secondary,no,42,yes,no,no
40517,54,technician,divorced,secondary,no,51,yes,no,no
40518,46,blue-collar,married,primary,no,0,yes,no,no
40519,55,technician,married,secondary,no,6958,yes,yes,no
40520,46,management,married,tertiary,no,618,yes,no,no
