carat,cut,color,clarity,depth,table,x,y,z
0.64,Ideal,D,SI1,62.7,57,5.52,5.58,3.46
1,Premium,H,SI1,61.5,58,6.41,6.44,3.94
1,Premium,G,SI1,60.5,60,6.52,6.47,3.94
0.41,Ideal,E,VVS2,61.6,56,4.77,4.83,2.95
0.56,Ideal,H,VS1,61.8,55,5.31,5.34,3.3
0.71,Very Good,G,VS1,61.2,58,5.74,5.77,3.51
0.61,Ideal,G,VS1,61.6,56,5.47,5.5,3.37
1.01,Premium,G,VS1,62.6,60,6.36,6.29,3.97
0.23,Ideal,I,VVS1,62.1,55,3.93,3.97,2.45
0.31,Ideal,G,IF,61.6,56,4.38,4.4,2.71
0.4,Ideal,D,SI2,62.8,57,4.75,4.77,2.96
1.52,Ideal,J,VS1,62.2,56,7.32,7.37,4.57
0.55,Ideal,E,VS1,61.5,56,5.32,5.27,3.23
0.3,Premium,J,SI1,62.6,58,4.28,4.31,2.68
1.5,Ideal,I,SI1,62.4,55,7.35,7.31,4.57
0.38,Ideal,F,VS1,61.1,57,4.68,4.64,2.87
0.9,Good,I,VS2,62.4,62,6.09,6.09,3.81
1.5,Very Good,G,SI1,62.1,58,7.26,7.33,4.52
0.37,Premium,E,VS1,61.5,55,4.6,4.65,2.84
0.7,Premium,G,VVS2,60.6,57,5.77,5.65,3.52
0.52,Ideal,E,SI1,60.1,57,5.22,5.23,3.16
2.03,Premium,H,SI2,58.1,59,8.32,8.37,4.92
2.05,Good,E,SI2,64.7,60,7.99,8.03,5.14
1.2,Premium,G,SI2,62.4,59,6.75,6.7,4.19
0.7,Very Good,E,VS2,62.9,58,5.64,5.67,3.56
1.51,Very Good,G,VS2,62.1,56,7.37,7.33,4.53
1.09,Ideal,E,SI2,61.6,55,6.65,6.62,4.1
1.6,Premium,H,VS1,62.1,58,7.55,7.49,4.6
0.35,Premium,H,SI1,61.8,58,4.53,4.51,2.78
0.6,Ideal,F,VS2,62.1,55,5.37,5.4,3.34
0.35,Ideal,I,VS1,61.6,56,4.53,4.53,2.8
0.9,Ideal,F,SI1,61.7,57,6.25,6.19,3.84
1.27,Ideal,H,SI1,60.6,57,7.05,7.01,4.25
2.02,Very Good,G,SI2,61.3,60,8.08,8.19,4.99
1.5,Premium,I,VS2,62.5,59,7.32,7.25,4.55
0.26,Ideal,D,VVS2,62.1,55,4.13,4.1,2.55
0.41,Ideal,D,SI1,61.6,56,4.8,4.82,2.95
0.31,Ideal,G,VVS1,60.2,58,4.4,4.44,2.64
1.21,Premium,H,SI1,59.8,58,6.92,6.84,4.16
0.7,Premium,J,SI1,61.9,61,5.67,5.62,3.5
0.79,Ideal,F,SI1,62,56,5.91,5.95,3.68
0.36,Premium,H,VS1,61.6,59,4.53,4.57,2.82
1.29,Ideal,H,SI1,61.8,55,7.01,7.02,4.35
0.51,Very Good,E,VVS2,62.8,56,5.11,5.12,3.23
1,Good,D,IF,57.8,62,6.51,6.55,3.94
0.5,Very Good,E,VS2,63.4,58,5.08,5.04,3.21
0.7,Premium,F,VS2,62.8,57,5.67,5.6,3.56
1.13,Very Good,H,SI1,63.1,56,6.68,6.72,4.21
0.7,Premium,G,VVS1,61.8,58,5.64,5.71,3.5
0.3,Ideal,H,SI1,62.2,57,4.31,4.33,2.68
0.33,Ideal,G,VVS2,60.1,55,4.5,4.51,2.72
2.24,Ideal,E,SI2,60.9,58,8.47,8.4,5.11
2,Premium,G,SI2,62.1,56,8.13,8.06,5.04
1.01,Premium,E,SI1,62,59,6.36,6.39,3.97
1.21,Premium,G,VVS2,59.6,60,6.93,6.88,4.13
0.38,Very Good,G,VS2,60.4,59,4.63,4.65,2.83
1.89,Premium,G,SI2,61.1,58,8,7.93,4.92
0.32,Premium,D,VVS1,62,58,4.37,4.41,2.71
0.73,Ideal,H,IF,62.4,55,5.74,5.75,3.59
0.79,Very Good,E,VS1,61,55,6,6.03,3.65
2,Ideal,H,SI1,61.8,57,8.05,8.1,4.95
1.51,Premium,G,VVS2,60.9,59,7.38,7.33,4.49
1.01,Ideal,H,SI1,62.4,53,6.42,6.5,4.02
1.04,Ideal,D,SI1,60.7,59,6.56,6.62,3.99
1.01,Good,G,SI1,63.6,57,6.28,6.33,3.99
1.01,Premium,G,VS1,59.8,60,6.58,6.52,3.9
1,Good,F,SI2,63.4,58,6.32,6.29,4.01
0.95,Ideal,I,SI1,62,56,6.3,6.35,3.89
0.94,Good,F,SI1,60.2,62,6.39,6.48,3.84
0.72,Very Good,J,VS2,61.3,61,5.76,5.79,3.54
0.46,Premium,D,VVS1,61.5,58,4.96,4.91,3.05
0.34,Ideal,G,VS2,61.1,57,4.51,4.48,2.74
0.3,Premium,E,VVS1,62.5,60,4.29,4.27,2.68
1.01,Very Good,E,VS2,62.6,60,6.35,6.38,4.01
0.32,Premium,G,VS1,61.7,58,4.41,4.38,2.71
1.27,Very Good,G,SI1,61.7,61,6.89,6.96,4.28
0.32,Ideal,I,VS1,61.4,55.3,4.42,4.45,2.73
0.51,Very Good,E,SI1,62.2,59,5.06,5.1,3.17
0.9,Very Good,E,SI2,63.1,56,6.17,6.12,3.87
1.01,Good,G,SI2,63.7,58,6.31,6.37,4.02
0.42,Ideal,G,VS2,61.8,57,4.82,4.84,2.96
0.33,Very Good,F,VVS2,61.2,56,4.43,4.46,2.73
0.51,Ideal,D,VVS2,60.7,57,5.17,5.12,3.15
0.7,Fair,I,SI1,63,66,5.64,5.7,3.53
0.9,Ideal,G,SI1,60.3,57,6.24,6.29,3.74
1,Premium,F,VS2,58.7,62,6.51,6.48,3.83
0.36,Ideal,F,SI1,62,56,4.58,4.54,2.83
1.66,Premium,J,VVS2,62.4,59,7.55,7.51,4.7
0.47,Ideal,G,VVS2,62.1,54,4.99,5.03,3.09
0.91,Premium,J,VS1,60.7,62,6.24,6.21,3.78
0.9,Premium,E,SI1,62.9,62,6.2,6.1,3.87
0.3,Ideal,E,VS2,61.8,57,4.33,4.36,2.66
0.32,Premium,F,VS2,59.5,58,4.42,4.43,2.63
0.32,Ideal,H,VS1,61.3,55,4.46,4.48,2.72
0.71,Premium,F,SI1,63,59,5.7,5.65,3.56
1.04,Very Good,H,SI2,62.4,58,6.42,6.46,4.02
0.56,Ideal,D,VS1,61.6,56,5.3,5.33,3.26
0.7,Good,G,VVS1,61.9,59,5.6,5.67,3.5
2.01,Premium,E,SI2,58.9,58,8.24,8.19,4.84
2.08,Ideal,H,VS2,61.6,57,8.15,8.16,5.04
1.14,Fair,I,SI2,66.2,54,6.64,6.62,4.23
0.51,Ideal,F,VVS2,61.8,56,5.14,5.08,3.19
1.51,Very Good,G,SI1,63,56,7.25,7.19,4.59
0.41,Premium,D,VS2,62.3,57,4.79,4.74,2.97
0.26,Good,D,VS1,58.4,65,4.17,4.24,2.46
0.52,Ideal,G,SI2,60.9,57,5.21,5.22,3.18
0.44,Very Good,H,SI1,63.1,58,4.86,4.84,3.04
0.92,Premium,E,VS1,61.1,59,6.28,6.2,3.84
0.51,Premium,E,VS1,61.9,58,5.12,5.09,3.16
0.79,Fair,G,SI1,64.6,59,5.84,5.8,3.71
1.11,Premium,J,VS2,61,58,6.67,6.65,4.06
0.31,Ideal,D,VS2,61.5,56,4.38,4.36,2.68
1.12,Ideal,I,VS2,61.7,57,6.67,6.69,4.13
1.51,Good,I,VS2,62.9,60,7.2,7.26,4.57
1.2,Very Good,G,SI1,62.8,59,6.66,6.73,4.22
0.51,Very Good,D,VS1,62.2,57,5.1,5.12,3.19
0.33,Premium,F,IF,60.3,58,4.47,4.44,2.7
1.7,Very Good,I,VS1,62.3,62,7.6,7.63,4.73
1,Ideal,J,VS1,62.3,55,6.42,6.38,4
0.32,Very Good,I,VS1,59.8,57,4.44,4.49,2.67
0.24,Ideal,G,VVS1,62.3,58,4.01,4.03,2.48
0.56,Very Good,F,SI1,62.9,58,5.23,5.26,3.31
1,Premium,J,SI1,60.8,58,6.39,6.42,3.9
0.3,Very Good,G,VS1,63.4,55,4.26,4.29,2.71
2.17,Ideal,J,VS2,60.3,57,8.41,8.36,5.05
1.02,Very Good,E,SI2,59.6,56,6.56,6.53,3.91
0.31,Very Good,G,VVS2,62.7,57,4.32,4.28,2.71
0.44,Ideal,D,SI1,61.7,55,4.89,4.92,3.02
0.7,Very Good,D,SI2,63.1,60,5.66,5.57,3.56
1.02,Premium,F,SI2,62.5,57,6.44,6.4,4
0.91,Ideal,E,VVS1,62.2,57,6.18,6.24,3.86
0.78,Very Good,F,SI1,62.4,59,5.85,5.89,3.65
0.82,Ideal,G,SI2,61.7,57,6.01,6.06,3.71
0.51,Ideal,G,VS2,61,56,5.18,5.18,3.15
0.8,Very Good,G,SI2,63.2,56,5.87,5.9,3.7
0.3,Ideal,F,VVS1,61.1,55,4.32,4.34,2.66
0.3,Premium,H,VVS2,60.8,61,4.35,4.28,2.64
0.33,Ideal,H,VS2,60.7,55,4.52,4.53,2.74
1.7,Ideal,G,VS2,62.5,57,7.59,7.64,4.74
0.23,Good,E,VS1,65.1,61,3.83,3.85,2.45
0.25,Ideal,E,VS1,61.3,59,4.07,4.11,2.49
1.16,Ideal,G,VVS1,61.9,57,6.7,6.77,4.14
0.3,Premium,G,VS1,61.9,60,4.29,4.28,2.65
0.57,Ideal,G,VS1,62.1,56,5.3,5.34,3.3
0.7,Good,G,VVS1,61,60,5.67,5.73,3.5
0.32,Very Good,J,VS2,62.3,60,4.38,4.39,2.74
0.41,Ideal,F,VS1,61.9,55,4.78,4.81,2.96
0.77,Ideal,G,VS2,61.1,56,5.92,5.94,3.62
0.74,Fair,F,SI2,66.9,62,5.38,5.29,3.68
0.5,Ideal,D,VS2,62.6,57,5.07,5.04,3.16
1.25,Ideal,J,SI1,62.1,57,6.82,6.86,4.27
1.2,Ideal,D,VVS2,62.7,57,6.78,6.74,4.23
0.9,Very Good,F,VS2,63.2,54,6.18,6.09,3.88
0.27,Good,E,VVS1,64.3,54,4.1,4.11,2.65
0.31,Premium,H,VS1,61.4,59,4.32,4.29,2.67
1.8,Ideal,I,VS1,62.3,57,7.73,7.67,4.84
0.4,Premium,D,SI2,62.2,57,4.72,4.69,2.94
0.71,Ideal,E,SI2,62.7,55,5.68,5.64,3.58
0.29,Ideal,G,VVS1,62.3,55,4.23,4.2,2.64
0.92,Ideal,G,SI2,62.6,57,6.21,6.23,3.88
0.7,Ideal,F,SI1,62.3,53,5.67,5.7,3.55
0.4,Good,H,SI1,63.8,58,4.61,4.63,2.98
0.7,Good,I,SI1,58.5,63.5,5.79,5.75,3.4
2.24,Premium,I,SI2,62.5,58,8.38,8.28,5.21
0.41,Very Good,J,IF,62.7,59,4.75,4.69,3
0.41,Very Good,G,VVS2,59.1,59,4.79,4.82,2.85
1.21,Ideal,H,VS2,62.8,55,6.78,6.82,4.28
0.32,Ideal,E,VS2,61.1,56,4.42,4.4,2.71
0.3,Premium,H,VVS2,62,58,4.31,4.29,2.67
1.01,Very Good,J,SI2,63.2,58.6,6.26,6.29,3.96
2.11,Ideal,H,SI2,61.4,55,8.37,8.29,5.09
0.31,Ideal,H,SI1,61.1,56,4.37,4.39,2.69
0.33,Ideal,G,VS1,62.1,55,4.42,4.47,2.75
0.26,Ideal,H,IF,61.4,57,4.16,4.22,2.54
0.7,Very Good,E,SI1,62.7,58,5.65,5.69,3.55
0.3,Very Good,D,VVS2,59.3,61,4.39,4.36,2.61
0.71,Very Good,G,SI1,60,58,5.71,5.8,3.49
0.35,Premium,E,VS2,59.5,60,4.62,4.61,2.75
0.33,Premium,F,SI1,60.9,62,4.49,4.43,2.71
0.9,Ideal,D,VS2,62.4,56,6.15,6.18,3.85
1.01,Good,D,SI2,63.6,59,6.38,6.31,4.04
1.14,Ideal,G,SI1,62.2,54,6.66,6.69,4.17
0.9,Premium,I,SI1,60.9,58,6.26,6.22,3.8
0.7,Ideal,H,VS1,61.9,56,5.7,5.73,3.54
0.32,Ideal,E,VVS1,61.6,57,4.39,4.39,2.7
0.9,Premium,E,SI1,62.9,58,6.15,6.1,3.87
0.7,Very Good,J,VVS1,62,57,5.6,5.59,3.51
1.62,Ideal,G,VVS1,60.8,55,7.58,7.61,4.61
0.4,Ideal,F,SI2,61.9,54,4.76,4.78,2.95
1.09,Ideal,G,SI1,62.2,56,6.6,6.56,4.09
1.21,Good,H,SI1,58.2,58,6.89,6.91,4.1
0.42,Premium,G,VS2,59.5,59,4.86,4.88,2.89
0.36,Premium,D,SI2,61.2,61,4.62,4.57,2.8
0.71,Ideal,E,VVS2,61.7,56,5.78,5.78,3.56
0.7,Good,I,VS1,59.7,64,5.75,5.65,3.42
1.26,Ideal,G,VS1,60.9,57,7.02,7,4.28
1.51,Ideal,I,VS2,61.6,54,7.37,7.39,4.57
0.8,Ideal,F,SI2,61.4,56,5.98,5.92,3.67
0.4,Ideal,D,VS2,61.6,57,4.76,4.77,2.92
0.78,Fair,H,SI2,64.6,58,5.79,5.76,3.71
0.38,Premium,D,VVS2,60.8,58,4.7,4.67,2.86
1.2,Premium,F,VS1,62.3,58,6.82,6.8,4.23
0.39,Good,F,VS2,63.1,64,4.58,4.63,2.93
0.57,Very Good,J,VS1,63.1,56,5.26,5.28,3.31
1.09,Ideal,H,SI1,61.1,57,6.62,6.67,4.1
0.4,Premium,G,VS2,61.9,59,4.73,4.79,2.91
0.71,Ideal,G,VS2,61.8,57,5.72,5.77,3.53
1.03,Ideal,G,VS2,61.3,57,6.51,6.51,3.99
0.31,Ideal,G,SI1,62.2,55,4.35,4.38,2.7
0.7,Ideal,E,VS2,61.1,56,5.75,5.79,3.5
0.43,Ideal,D,VS2,61.8,55,4.85,4.88,3
0.3,Premium,J,VS2,60.6,59,4.34,4.38,2.64
0.43,Ideal,D,SI2,62.6,56,4.86,4.88,3.03
0.35,Ideal,D,VS1,61.6,57,4.57,4.57,2.79
1.21,Premium,D,VVS1,61.1,58,6.91,6.87,4.19
0.91,Very Good,F,SI1,63.3,55,6.13,6.09,3.85
1.02,Ideal,G,VS2,61.5,54,6.52,6.46,4
0.5,Ideal,E,VS1,62.7,57,5.06,5.08,3.18
1.41,Good,H,VS2,63.9,59,7.12,6.97,4.52
0.9,Ideal,G,VS1,62.2,56,6.17,6.14,3.84
0.32,Premium,G,VS2,60.1,57,4.41,4.46,2.66
0.32,Ideal,G,VS1,61.4,54,4.4,4.46,2.72
2,Ideal,I,VS1,62.3,56,8.02,7.97,5.02
1.56,Premium,G,VS2,59.9,60,7.54,7.5,4.51
0.38,Premium,G,VS1,60,56,4.72,4.68,2.85
0.24,Very Good,E,VVS2,62.9,58,3.95,3.97,2.49
0.71,Very Good,F,VS2,63.5,57,5.66,5.69,3.58
0.81,Ideal,I,SI2,61.6,57,5.94,5.98,3.67
0.7,Ideal,I,VVS2,62.1,56,5.68,5.71,3.55
0.32,Good,D,SI2,63.4,56,4.34,4.37,2.77
0.78,Very Good,H,SI2,63.6,57,5.77,5.85,3.74
1.21,Premium,H,SI1,62.5,59,6.77,6.73,4.23
0.3,Ideal,G,VS2,62.3,56,4.29,4.32,2.69
0.96,Fair,H,I1,69.2,58,5.97,5.8,4.21
1.74,Very Good,I,SI1,60.8,59,7.79,7.75,4.69
0.51,Ideal,D,VVS1,62.1,58,5.11,5.15,3.17
0.77,Ideal,I,VS1,61.4,57,5.91,5.89,3.65
0.64,Ideal,D,SI1,62,57,5.54,5.48,3.41
0.74,Very Good,D,VS2,59.8,62,5.93,5.99,3.51
1,Ideal,D,SI1,60.6,57,6.5,6.54,3.95
1.55,Ideal,G,I1,62.4,55,7.37,7.36,4.62
1.2,Premium,D,SI2,59.7,59,6.89,6.89,4.09
0.7,Very Good,G,SI1,62.1,58,5.65,5.67,3.52
2,Very Good,G,SI2,63.3,55,8,7.96,5.07
2.34,Premium,I,VS2,61.8,61,8.49,8.42,5.25
0.9,Premium,I,SI2,62,62,6.17,6.1,3.82
0.9,Very Good,H,VVS1,62.2,60,6.12,6.18,3.82
1.26,Very Good,G,VVS2,62.2,59,6.83,6.89,4.29
0.59,Ideal,G,VS2,62.6,57,5.36,5.31,3.35
1.02,Ideal,F,SI2,61.8,56,6.51,6.47,4.01
1.06,Ideal,F,VS2,60.7,57,6.61,6.65,3.99
0.73,Fair,D,SI1,64.5,60,5.62,5.58,3.64
2.02,Very Good,D,SI2,60.6,58,8.21,8.21,4.97
0.9,Premium,D,VVS1,62.7,59,6.13,6.06,3.82
0.78,Premium,D,SI2,58.8,57,6.05,6.01,3.59
0.35,Premium,G,VVS1,62.1,58,4.52,4.5,2.78
1.1,Very Good,H,SI1,61.6,60,6.61,6.66,4.08
0.92,Ideal,J,SI1,61.8,57,6.2,6.22,3.8
0.41,Ideal,E,VVS2,62.3,58,4.77,4.76,2.96
1.02,Very Good,H,VS1,63,59,6.34,6.42,3.99
0.51,Very Good,G,VS2,59.1,60,5.18,5.21,3.06
0.72,Ideal,I,VVS2,61,57,5.76,5.8,3.55
0.7,Ideal,D,VVS2,61.1,56,5.75,5.72,3.51
1.05,Very Good,G,SI1,62,56,6.51,6.56,4.03
1.01,Fair,G,SI2,68.5,59,6.13,5.96,4.19
1.51,Very Good,F,SI1,62.8,61,7.27,7.28,4.59
0.3,Ideal,J,VVS1,62.3,57,4.27,4.3,2.67
0.32,Very Good,G,VS1,62.8,54,4.37,4.41,2.76
1.34,Ideal,G,VVS1,62.2,54,7.09,7,4.38
0.93,Premium,E,SI2,62.1,58,6.25,6.22,3.88
0.72,Very Good,J,SI1,62.7,58,5.69,5.74,3.58
0.41,Very Good,I,VVS2,60.9,59,4.8,4.8,2.93
0.7,Premium,H,SI1,61.3,58,5.72,5.65,3.51
1.53,Premium,J,VS2,60.1,57,7.5,7.45,4.5
0.7,Very Good,F,SI1,63.1,60,5.62,5.67,3.54
1.1,Very Good,J,SI2,61.5,61,6.65,6.75,4.05
1.06,Ideal,G,SI2,62.3,55,6.51,6.45,4.06
2.01,Premium,H,SI1,60.6,62,8.25,8.21,4.86
0.33,Very Good,G,VVS2,60,61,4.47,4.51,2.69
0.41,Premium,H,SI1,61.7,61,4.75,4.69,2.94
0.31,Good,D,SI1,63.7,54,4.33,4.3,2.76
0.7,Premium,J,VS2,61.2,60,5.71,5.67,3.52
2.01,Ideal,J,SI2,62.7,54,8.01,8.03,5.05
1.15,Premium,G,SI1,63,60,6.71,6.65,4.18
0.71,Good,F,VS2,63.8,64,5.64,5.62,3.59
0.5,Ideal,F,SI2,62,56,5.14,5.09,3.17
0.34,Ideal,H,VS1,62.3,55,4.49,4.45,2.79
1.01,Fair,F,VS1,64.7,60,6.29,6.31,4.07
0.32,Ideal,D,VVS2,60.6,56,4.44,4.46,2.68
0.31,Ideal,G,VVS1,61.4,56,4.36,4.39,2.68
0.66,Premium,F,SI1,60.6,58,5.69,5.64,3.44
0.39,Ideal,D,VS1,61.8,57,4.67,4.7,2.9
1.18,Ideal,E,SI2,61.3,57,6.86,6.77,4.17
2.04,Premium,H,SI1,60.6,61,8.21,8.09,4.94
0.3,Ideal,G,VS1,61.1,57,4.34,4.29,2.67
0.57,Very Good,I,SI2,61.5,56,5.33,5.37,3.27
0.39,Ideal,G,VVS1,62.1,56,4.68,4.77,2.91
0.78,Good,F,VS2,60.5,60.7,5.98,5.95,3.61
0.56,Premium,G,SI1,60.2,59,5.33,5.36,3.2
0.42,Ideal,I,SI1,62.2,54,4.8,4.82,2.98
0.35,Premium,E,SI1,62.9,58,4.49,4.54,2.82
0.23,Ideal,F,VVS2,60.9,57,3.96,3.99,2.41
0.51,Premium,G,VS1,60.2,58,5.24,5.23,3.15
0.54,Very Good,I,SI2,63,58,5.17,5.21,3.29
1,Ideal,E,VS2,61.7,58,6.38,6.48,3.98
0.91,Very Good,E,SI2,63.4,58,6.11,6.12,3.89
0.73,Premium,D,VS1,62.1,59,5.72,5.77,3.54
1.64,Very Good,G,SI2,62.6,58,7.61,7.52,4.71
0.7,Ideal,F,VS2,62.3,55,5.67,5.74,3.54
0.3,Premium,G,VVS1,62.6,59,4.27,4.23,2.64
0.53,Premium,D,VVS2,62.4,58,5.11,5.18,3.23
0.38,Very Good,D,VS2,59.5,58.2,4.72,4.76,2.81
0.33,Ideal,G,VS2,62.5,56,4.42,4.43,2.77
0.77,Very Good,H,SI2,62.9,57,5.82,5.88,3.69
0.44,Premium,G,VVS2,60.9,58,4.93,4.91,2.99
0.3,Very Good,F,IF,62.1,58,4.25,4.3,2.65
1.51,Premium,J,VS2,62.3,58,7.31,7.32,4.56
0.33,Ideal,I,VVS2,62.4,54.5,4.45,4.43,2.77
0.78,Very Good,F,VS2,59.6,58,5.97,5.99,3.55
2.01,Premium,J,SI1,60.7,58,8.14,8.08,4.96
1.03,Ideal,F,SI1,62.1,58,6.5,6.46,4.04
0.68,Good,J,SI1,60.2,60,5.68,5.64,3.4
0.8,Very Good,H,SI1,63.4,57,5.82,5.74,3.72
0.46,Ideal,J,VVS2,62.3,55,4.98,4.94,3.08
0.89,Premium,D,SI1,61.5,58,6.13,6.11,3.77
0.71,Premium,H,VS1,62.4,59,5.66,5.6,3.51
1.71,Ideal,I,VVS2,62.4,55,7.73,7.76,4.8
1.34,Premium,J,VS2,60.5,56,7.08,7.12,4.28
1.35,Very Good,H,SI2,62.3,56,7.04,7.04,4.38
0.43,Very Good,E,SI1,63.4,56,4.82,4.79,3.04
1.62,Very Good,E,VS2,61.8,57,7.48,7.6,4.64
1.12,Very Good,I,SI2,62.6,58,6.59,6.66,4.13
0.3,Ideal,F,IF,61.8,58,4.25,4.29,2.64
1.51,Very Good,G,VS2,61.5,60,7.3,7.37,4.5
0.42,Ideal,G,VVS2,62.3,57,4.81,4.82,2.98
1.12,Ideal,F,SI2,61.6,55,6.72,6.74,4.14
0.32,Ideal,H,VVS1,61.9,55,4.37,4.42,2.71
1.37,Premium,G,SI2,59.6,59,7.35,7.26,4.35
1.24,Premium,I,SI1,62.4,58,6.87,6.8,4.28
0.71,Very Good,G,SI1,63.4,57,5.63,5.6,3.59
0.7,Premium,F,VS2,62.1,58.5,5.67,5.63,3.49
1.2,Ideal,H,SI1,61.9,55,6.78,6.87,4.23
1.5,Fair,D,I1,64.7,60,7.08,6.98,4.6
1.02,Ideal,F,SI1,60.6,56,6.53,6.5,3.94
0.53,Very Good,E,VS1,61.8,58,5.2,5.21,3.21
0.42,Ideal,H,IF,61.6,56,4.82,4.79,2.96
0.4,Ideal,E,VS2,62.9,54,4.71,4.67,2.97
1.02,Ideal,J,SI1,62.1,55.3,6.44,6.4,3.99
0.7,Ideal,I,VS2,62.8,56,5.69,5.64,3.57
0.9,Premium,F,SI2,58,61,6.26,6.22,3.63
1.43,Ideal,H,VVS2,61.2,56,7.3,7.22,4.47
0.4,Ideal,J,VS1,61.3,57,4.73,4.76,2.92
0.35,Good,D,SI1,63.1,58,4.47,4.52,2.82
1.01,Very Good,D,SI2,64,53,6.37,6.38,4.05
0.7,Premium,F,SI2,61.5,59,5.69,5.71,3.46
0.91,Very Good,D,SI2,62.7,58,6.14,6.17,3.88
0.3,Ideal,G,VVS2,61.6,57,4.31,4.34,2.65
0.31,Very Good,E,VVS2,61.1,59,4.31,4.33,2.66
0.31,Very Good,G,VS1,58.2,59,4.43,4.48,2.63
